EOTV.ElapsedDays,EOTV.ElapsedSecs,EOTV.RAPTank1.FuelMass,REV,AOL,EOTV.EarthMJ2000Eq.AOP,EOTV.Earth.SMA,EOTV.EarthMJ2000Eq.RAAN,EOTV.Earth.ECC,EOTV.EarthMJ2000Eq.INC,EOTV.Earth.OrbitPeriod,EOTV.HET1.ThrustDirection1,EOTV.HET1.ThrustDirection2,EOTV.HET1.ThrustDirection3,EOTV.EOTVSolarArrays.ThrustPowerAvailable,EOTV.Earth.BetaAngle,EOTV.TotalMass
5.636839359,487022.9206,2949.740089,92,97.96356192,8.553900888,7716.124712,274.4825453,0.010418848,26.47858854,6745.433081,0.980614258,0.19594815,0,200701.61,-25.4278538,23445.74009
5.638582551,487173.5324,2949.537315,92,106.0061715,8.931658388,7716.653966,274.467937,0.010350359,26.47996867,6746.127103,0.929210938,0.36954977,0,200699.2615,-25.43504573,23445.53731
5.640327932,487324.3333,2949.334286,92,114.0345496,9.319108628,7717.278597,274.4550441,0.010265924,26.48205912,6746.946226,0.862236315,0.506506207,0,200696.9999,-25.44147563,23445.33429
5.642075206,487475.2978,2949.131037,92,122.0479085,9.674657733,7717.971191,274.4441555,0.010162404,26.48463912,6747.854512,0.794119279,0.607761936,0,200694.8685,-25.44701432,23445.13104
5.643824184,487626.4095,2948.92759,92,130.0464809,9.950326987,7718.702699,274.4354249,0.010039683,26.48746445,6748.813875,0.733005049,0.680223197,0,200692.9079,-25.45159271,23444.92759
5.64557479,487777.6619,2948.723954,92,138.0315248,10.09639977,7719.442226,274.4288748,0.009901019,26.49027835,6749.783802,0.681996845,0.731355115,0,200691.1551,-25.45519997,23444.72395
5.647326829,487929.0381,2948.520151,92,146.0042221,10.06777921,7720.157612,274.424392,0.009753043,26.49282462,6750.722111,0.641513144,0.767112042,0,200689.6429,-25.45788561,23444.52015
5.649080261,488080.5345,2948.316186,92,153.9668881,9.8319054,7720.817349,274.4217249,0.009605205,26.49486441,6751.587468,0.610899695,0.791708004,0,200688.3997,-25.45976102,23444.31619
5.650834868,488232.1326,2948.112084,92,161.9214176,9.376838138,7721.392849,274.420493,0.00946869,26.49619273,6752.342365,0.58926375,0.807940736,0,200687.4482,-25.46099505,23444.11208
5.652590563,488383.8246,2947.907856,92,169.8706093,8.717348736,7721.861017,274.4202075,0.009354806,26.49665444,6752.956492,0.575826051,0.817572234,0,200686.806,-25.4618052,23443.90786
5.654346985,488535.5795,2947.703543,92,177.8162556,7.896717567,7722.206245,274.4203025,0.009273167,26.49615641,6753.409362,0.570059603,0.82160334,0,200686.4842,-25.46244345,23443.70354
5.656103788,488687.3673,2947.499186,92,185.7603717,6.981892283,7722.422044,274.4201736,0.00922995,26.49467601,6753.692453,0.57172819,0.820443098,0,200686.4882,-25.46317918,23443.49919
5.657860542,488839.1508,2947.294834,92,193.7046433,6.052235219,7722.511816,274.4192211,0.009226743,26.49226421,6753.810219,0.580896481,0.813977443,0,200686.8165,-25.46427971,23443.29483
5.65961679,488990.8907,2947.090541,92,201.6506014,5.184359887,7722.488856,274.4168945,0.009260286,26.48904325,6753.7801,0.597925948,0.801551346,0,200687.4615,-25.46599043,23443.09054
5.661371986,489142.5396,2946.886371,92,209.5992198,4.437703595,7722.375597,274.4127352,0.00932321,26.48519927,6753.631522,0.62345114,0.781862313,0,200688.409,-25.46851572,23442.88637
5.66312551,489294.0441,2946.682395,92,217.5509139,3.844907333,7722.202168,274.4064146,0.009405561,26.48096981,6753.404014,0.658302136,0.75275381,0,200689.6389,-25.47200209,23442.6824
5.664876771,489445.353,2946.478683,92,225.5059041,3.408993978,7722.004384,274.3977634,0.009496712,26.47662695,6753.144559,0.703291841,0.710901249,0,200691.1254,-25.47652497,23442.47868
5.666625168,489596.4145,2946.275304,92,233.4639676,3.106833394,7721.821286,274.3867931,0.009587235,26.47245738,6752.904373,0.758693001,0.651448333,0,200692.8374,-25.48207946,23442.2753
5.668370221,489747.1871,2946.072313,92,241.4249803,2.896790027,7721.692302,274.3737046,0.009670422,26.46873988,6752.735174,0.823130893,0.567851683,0,200694.7397,-25.48857657,23442.07231
5.670111507,489897.6342,2945.869761,92,249.3885635,2.728621639,7721.654015,274.3588852,0.009743232,26.46572204,6752.684951,0.891652184,0.452721088,0,200696.7934,-25.49584452,23441.86976
5.671848653,490047.7236,2945.66769,92,257.3540617,2.554252701,7721.736357,274.3428889,0.009806615,26.46359638,6752.792965,0.953591343,0.301103888,0,200698.9568,-25.50363741,23441.66769
5.673581345,490197.4282,2945.466138,92,265.3205733,2.338503213,7721.958293,274.3263922,0.009865095,26.4624781,6753.084097,0.993148623,0.116858091,0,200701.1864,-25.51165502,23441.46614
5.675309497,490346.7406,2945.265113,92,273.2877791,2.067868825,7722.324215,274.3101128,0.009925571,26.46239015,6753.564117,0.996596338,-0.082436275,0,200703.4377,-25.51957837,23441.26511
5.67703301,490495.6521,2945.064628,92,281.2549039,1.753979084,7722.823602,274.2947119,0.009995481,26.46326439,6754.219237,0.962587933,-0.270969501,0,200705.6661,-25.52711334,23441.06463
5.678752063,490644.1782,2944.864662,92,289.22214,1.429510229,7723.435354,274.2807152,0.010080955,26.46496051,6755.021791,0.903329077,-0.428948223,0,200707.828,-25.53402576,23440.86466
5.680466804,490792.3319,2944.665198,92,297.1892422,1.139643495,7724.133107,274.2684997,0.010185478,26.46728961,6755.937208,0.834979937,-0.550280387,0,200709.8814,-25.54014701,23440.6652
5.682177542,490940.1396,2944.466199,92,305.1563965,0.933284862,7724.887763,274.258311,0.010309189,26.47003001,6756.927325,0.769294175,-0.638894726,0,200711.7864,-25.54536667,23440.4662
